Nombre de génération, Nombre d'étapes, x, y, z, seuil
772,119,6095,730,7213,14034
773,25,3348,8919,5498,17641
774,45,7420,12993,7013,27372
777,350,15356,12717,1892,29828
778,191,12729,-2808,1227,11118
780,334,13229,18137,-3210,27931
781,57,7986,10181,9094,27209
782,30,7499,9826,12149,29354
783,11,8652,2116,8515,19243
784,342,5573,6662,12063,24223
785,39,7483,-395,6524,13479
786,155,-2129,10319,3675,11853
788,425,-6501,11680,4769,9930
789,184,7107,4878,11312,23082
790,14,7433,10163,10432,28004
791,183,2853,5861,8883,17523
792,26,4733,10479,3796,18932
793,37,7733,4413,13446,25472
794,72,-213,4227,8806,12732
795,213,10415,9146,585,20055
796,141,1853,6032,7109,14982
797,1540,60015,10692,-67050,3656
798,46,5684,12240,8020,25856
799,38,12888,4382,11244,28246
800,467,-2044,491,7558,5993
801,22,4467,1453,6149,12026
803,7,5642,6539,10112,22165
804,36,7366,9890,8041,25242
805,46,1807,160,6445,8389
806,1,3055,9277,3285,15570
807,18,4952,8584,6402,19746
808,41,12275,11455,4711,28287
809,22,8123,3170,4143,15316
811,136,4574,6154,1623,12315
812,250,17416,2909,9398,29693
813,101,4546,424,6567,11495
814,44,10491,10313,8923,29470
815,36,8798,11622,6002,26397
816,14,9175,9184,1526,19870
817,127,4669,-833,9690,13411
818,184,8390,7599,9823,25638
819,10,9555,7288,8289,25058
820,75,9244,4151,4665,18012
821,37,-3399,5308,5129,6991
822,74,-290,5907,5868,11433
823,374,-3587,-3411,13595,6536
824,27,2731,10262,4848,17755
825,17,4728,10333,2180,17184
826,294,12434,12054,4243,28685
827,572,428,20140,3912,24395
828,43,9475,8794,10061,28052
829,195,-1597,-3469,10491,5420
830,119,4202,1790,3347,9329
831,124,9277,2953,-1471,10716
832,895,5474,30311,-8143,27597
833,155,12495,851,194,13527
834,8,10200,2523,6629,19255
835,121,9369,4724,3989,18018
836,14,5961,5182,5076,16200
837,503,7268,19475,-21449,5251
838,46,7948,13367,6663,27930
839,212,8440,4560,-8667,4325
840,74,7146,11532,-328,18266
841,20,8799,7837,5552,22097
842,346,7349,-4383,7941,10885
843,100,4073,4843,-279,8603
844,168,5997,7719,7818,21328
845,26,5617,12140,6029,23776
847,329,3754,11882,11225,26781
848,21,10251,6323,1176,17691
849,282,6941,-1181,3285,9008
850,97,1028,-1179,7958,7731
851,0,3328,751,3467,7478
852,43,8083,5798,6349,20226
854,332,-8416,13115,4627,9257
855,18,6798,8282,7899,22947
856,108,4590,6644,990,12199
857,490,17488,-803,11663,28194
858,48,8973,5339,13978,28042
859,31,-355,2765,2257,4651
860,304,-3253,7041,-744,3020
861,12,3446,4765,1609,9793
862,91,1183,7093,3016,11267
863,99,5901,9224,7428,22363
864,38,6622,9494,8189,24204
865,31,8718,4420,11290,24324
866,123,4837,-1810,5485,8442
867,258,-5635,9512,8309,12130
868,131,-1231,3632,10124,12497
869,23,6429,3705,8838,18924
870,27,11163,8618,4996,24661
871,157,418,10491,3710,14568
872,30,5549,8934,3823,18232
873,290,4202,-5574,9536,8099
874,1035,42798,-38762,511,4514
875,348,6451,3426,1027,10864
876,108,3847,911,4556,9274
877,392,-1377,-1194,10514,7887
878,39,6798,5934,6037,18687
879,331,10372,8553,8782,27648
880,504,15415,8114,5861,29207
881,495,-3768,28880,1679,26713
882,33,3930,9672,8018,21481
883,206,10089,1861,423,12359
884,76,9225,7123,-2397,13847
885,23,10757,1856,6017,18615
886,293,14386,3613,3537,21439
887,192,9389,10560,5498,25417
888,43,10346,4102,14484,28740
889,184,10984,-4493,1684,8158
890,161,-2453,6236,12829,16588
891,39,7493,3248,9347,19992
892,457,8359,-11366,10481,7407
893,426,-518,17091,-7947,8562
894,30,10405,6758,11405,28396
895,41,4372,11389,13687,29367
896,915,-16076,41333,-892,24299
897,558,-5652,15760,-3463,6596
898,13,9262,3911,7952,21015
